"Part";"Value";"Device";"Package";"Description";"";
"BAT+";"TP/SP-1.5X1.0";"TP/SP-1.5X1.0";"SOLDERPAD_1.5X1.0";"Solderpads/Testpads";"";
"BAT-";"TP/SP-1.5X1.0";"TP/SP-1.5X1.0";"SOLDERPAD_1.5X1.0";"Solderpads/Testpads";"";
"C1";"1µ";"C-EU-0402-WOKEEPOUT_S";"C0402_S";"";"";
"C2";"1µ";"C-EU-0402-WOKEEPOUT_S";"C0402_S";"";"";
"C3";"1µ";"C-EU-0402-WOKEEPOUT_S";"C0402_S";"";"";
"C4";"1µ";"C-EU-0402-WOKEEPOUT_S";"C0402_S";"";"";
"C7";"10µ";"C-EU-0402-WOKEEPOUT_S";"C0402_S";"";"";
"C8";"0,1µ";"C-EU-0402-WOKEEPOUT_S";"C0402_S";"";"";
"C9";"0,1µ";"C-EU-0402-WOKEEPOUT_S";"C0402_S";"";"";
"C13";"1µ";"C-EU-0402-WOKEEPOUT_S";"C0402_S";"";"";
"C20";"10p";"C-EU-0402-WOKEEPOUT_S";"C0402_S";"";"";
"C21";"10p";"C-EU-0402-WOKEEPOUT_S";"C0402_S";"";"";
"D1";"4148";"DIODE-SOD523";"SOD523";"DIODE";"";
"D2";"4148";"DIODE-SOD523";"SOD523";"DIODE";"";
"ESP1";"ESP32_C3_QFN32";"ESP32_C3_QFN32";"QFN32";"";"";
"F2";"0";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"L1";"WS2812_2020";"WS2812_2020";"WS2812_2020";"";"";
"R/1";"1M";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"R/2";"250k";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"R1";"1k";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"R2";"1k";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"R3";"1M";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"R4";"10k";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"R5";"47.5k";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"R7";"10k";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"R10";"10k";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"R11";"10k";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"R12";"5.1k";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"R13";"5.1k";"R-EU-0402-WOKEEPOUT";"R0402";"";"";
"RF";"ANT3216LL00R2400A";"ANT3216LL00R2400A";"ANT3216LL00R2400A";"";"";
"U$1";"BUTTON_ST-1187-3";"BUTTON_ST-1187-3";"BUTTON_ST-1187-3";"";"";
"U1";" BRCL4054BME";"MCP73831_SOT23_5";"SOT23-5";"";"";
"U2";"MIC5504";"MIC5504";"TDFN4";"";"";
"USB-C";"USB_C_C393939";"USB_C_C393939";"USBC_C393939";"";"";
"X1";"XTAL_2016";"XTAL_2016";"XTYL_2016";"";"";
